field,value,count
source_type,precedent,3773
source_type,statute,2808
source_type,interpretation,962
source_type,mediation_casebook,384
source_type,counsel_casebook,195
source_type,guide,132
source_type,standard_contract,5
issue,법령,2808
issue,갱신종료,1422
issue,보증금권리,1414
issue,경매배당,567
issue,상가임대차,422
issue,분쟁조정,384
issue,전세사기,349
issue,중개,298
issue,수선원상회복,270
issue,임대차상담,195
issue,법령해설,111
issue,계약체결,10
issue,분쟁대응,9
section,article,2420
section,body,1823
section,holding,1032
section,summary,918
section,page,716
section,supplement,343
section,reason,321
section,question,321
section,answer,320
section,annex,45
relevance_level,<missing>,4486
relevance_level,candidate,1999
relevance_level,relevant,1774
