file,count,min,mean,median,max
api_eflaw.jsonl,2808,5,310.68055555555554,164.5,32793
api_expc.jsonl,962,24,1345.6029106029107,508.0,10336
api_prec_갱신종료.jsonl,1137,11,5068.862796833773,1008.0,359996
api_prec_경매배당.jsonl,567,12,3079.7654320987654,749.0,84526
api_prec_보증금권리.jsonl,1159,21,4204.225194132873,1678.0,103478
api_prec_수선원상회복.jsonl,270,15,4219.492592592593,1191.0,46756
api_prec_전세사기.jsonl,342,10,9061.926900584795,2236.5,211900
api_prec_중개.jsonl,298,40,5313.3489932885905,1522.0,79139
pdf_counsel_casebook_2024.jsonl,92,90,848.1521739130435,906.5,2383
pdf_counsel_casebook_2025.jsonl,103,35,1005.0679611650486,1023.0,2412
pdf_guide_contract_checklist_2026.jsonl,5,1302,1709.8,1510.0,2627
pdf_guide_hlpa_guidebook_2020.jsonl,111,43,540.3423423423424,489.0,1068
pdf_guide_jeonse_fraud_seoul.jsonl,7,178,601.5714285714286,753.0,913
pdf_guide_legal_procedure_seoul.jsonl,9,269,562.1111111111111,527.0,1126
pdf_mediation_casebook_2021.jsonl,172,54,621.7616279069767,632.0,1036
pdf_mediation_casebook_2022.jsonl,137,96,780.007299270073,746.0,2827
pdf_mediation_casebook_2023.jsonl,75,109,808.36,856.0,1150
pdf_standard_contract_202310.jsonl,5,418,1617.6,1649.0,2839
