field,present,coverage
article,2420,0.293013682043831
article_no,2420,0.293013682043831
article_title,2419,0.29289260200992856
authority,8259,1.0
book_page,707,0.08560358396900351
case_no,4735,0.573313960527909
court,3773,0.456834967913791
decision_date,4720,0.5714977600193728
doc_title,8259,1.0
doc_year,8228,0.9962465189490253
effective_date,2808,0.33999273519796586
interpreting_agency,962,0.11647899261411793
issue,8259,1.0
judgment_type,3773,0.456834967913791
pdf_page,716,0.0866933042741252
record_id,8259,1.0
relevance_level,3773,0.456834967913791
section,8259,1.0
source_id,8259,1.0
source_org,8254,0.999394599830488
source_type,8259,1.0
