meta.record_id,tokens.kure-legal-ft-v1,over_8192.kure-legal-ft-v1,tokens.kure-v1,over_8192.kure-v1,tokens.bge-m3,over_8192.bge-m3
001248:article:0001001,50,False,50,False,50,False
001248:article:0002001,65,False,65,False,65,False
001248:article:0003001,450,False,450,False,450,False
001248:article:0003021,984,False,984,False,984,False
001248:article:0003031,869,False,869,False,869,False
001248:article:0003041,225,False,225,False,225,False
001248:article:0003051,87,False,87,False,87,False
001248:article:0003061,394,False,394,False,394,False
001248:article:0003071,213,False,213,False,213,False
001248:article:0004001,94,False,94,False,94,False
001248:article:0006001,208,False,208,False,208,False
001248:article:0006021,104,False,104,False,104,False
001248:article:0006031,788,False,788,False,788,False
001248:article:0007001,221,False,221,False,221,False
001248:article:0007021,138,False,138,False,138,False
001248:article:0008001,202,False,202,False,202,False
001248:article:0008021,437,False,437,False,437,False
001248:article:0009001,210,False,210,False,210,False
001248:article:0010001,37,False,37,False,37,False
001248:article:0010021,86,False,86,False,86,False
001248:article:0011001,37,False,37,False,37,False
001248:article:0012001,59,False,59,False,59,False
001248:article:0013001,72,False,72,False,72,False
001248:article:0014001,401,False,401,False,401,False
001248:article:0015001,30,False,30,False,30,False
001248:article:0016001,550,False,550,False,550,False
001248:article:0017001,222,False,222,False,222,False
001248:article:0018001,39,False,39,False,39,False
001248:article:0019001,109,False,109,False,109,False
001248:article:0020001,318,False,318,False,318,False
001248:article:0021001,328,False,328,False,328,False
001248:article:0022001,124,False,124,False,124,False
001248:article:0023001,107,False,107,False,107,False
001248:article:0024001,248,False,248,False,248,False
001248:article:0025001,90,False,90,False,90,False
001248:article:0026001,215,False,215,False,215,False
001248:article:0027001,99,False,99,False,99,False
001248:article:0028001,63,False,63,False,63,False
001248:article:0029001,48,False,48,False,48,False
001248:article:0030001,86,False,86,False,86,False
001248:article:0031001,71,False,71,False,71,False
001248:supplement:1981030503379,108,False,108,False,108,False
001248:supplement:1983123003682,183,False,183,False,183,False
001248:supplement:1989123004188,202,False,202,False,202,False
001248:supplement:1997121305454,57,False,57,False,57,False
001248:supplement:1999012105641,124,False,124,False,124,False
001248:supplement:2001122906541,31,False,31,False,31,False
001248:supplement:2002012606627,388,False,388,False,388,False
001248:supplement:2005012707358,209,False,209,False,209,False
001248:supplement:2007080308583,31,False,31,False,31,False
001248:supplement:2008032108923,25,False,25,False,25,False
001248:supplement:2009050809653,31,False,31,False,31,False
001248:supplement:2010051710303,130,False,130,False,130,False
001248:supplement:2011041210580,193,False,193,False,193,False
001248:supplement:2013032311690,131,False,131,False,131,False
001248:supplement:2013081312043,424,False,424,False,424,False
001248:supplement:2015010612989,172,False,172,False,172,False
001248:supplement:2016052914175,159,False,159,False,159,False
001248:supplement:2016052914242,140,False,140,False,140,False
001248:supplement:2018101615791,161,False,161,False,161,False
001248:supplement:2020020416912,146,False,146,False,146,False
001248:supplement:2020060917363,154,False,154,False,154,False
001248:supplement:2020073117470,178,False,178,False,178,False
001248:supplement:2023041819356,181,False,181,False,181,False
001248:supplement:2023071119520,26,False,26,False,26,False
001248:supplement:2025100121065,393,False,393,False,393,False
004950:article:0001001,39,False,39,False,39,False
004950:article:0002001,113,False,113,False,113,False
004950:article:0002021,7,False,7,False,7,False
004950:article:0003001,175,False,175,False,175,False
004950:article:0004001,305,False,305,False,305,False
004950:article:0005001,216,False,216,False,216,False
004950:article:0006001,337,False,337,False,337,False
004950:article:0007001,110,False,110,False,110,False
004950:article:0008001,104,False,104,False,104,False
004950:article:0009001,80,False,80,False,80,False
004950:article:0010001,396,False,396,False,396,False
004950:article:0011001,203,False,203,False,203,False
004950:article:0012001,126,False,126,False,126,False
004950:article:0013001,198,False,198,False,198,False
004950:article:0014001,68,False,68,False,68,False
004950:article:0015001,136,False,136,False,136,False
004950:article:0016001,162,False,162,False,162,False
004950:article:0017001,220,False,220,False,220,False
004950:article:0018001,78,False,78,False,78,False
004950:article:0019001,62,False,62,False,62,False
004950:article:0020001,35,False,35,False,35,False
004950:article:0021001,132,False,132,False,132,False
004950:article:0022001,250,False,250,False,250,False
004950:article:0023001,381,False,381,False,381,False
004950:article:0024001,74,False,74,False,74,False
004950:article:0025001,59,False,59,False,59,False
004950:article:0026001,158,False,158,False,158,False
004950:article:0027001,53,False,53,False,53,False
004950:article:0028001,184,False,184,False,184,False
004950:article:0029001,104,False,104,False,104,False
004950:article:0030001,170,False,170,False,170,False
004950:article:0031001,182,False,182,False,182,False
004950:article:0032001,142,False,142,False,142,False
004950:article:0033001,685,False,685,False,685,False
004950:article:0034001,141,False,141,False,141,False
004950:article:0035001,75,False,75,False,75,False
004950:supplement:1984061411441,25,False,25,False,25,False
004950:supplement:1987120112283,77,False,77,False,77,False
004950:supplement:1990021912930,26,False,26,False,26,False
004950:supplement:1995101914785,65,False,65,False,65,False
004950:supplement:2001091517360,65,False,65,False,65,False
004950:supplement:2002061917627,26,False,26,False,26,False
004950:supplement:2007102320334,26,False,26,False,26,False
004950:supplement:2008082120971,70,False,70,False,70,False
004950:supplement:2009073021650,26,False,26,False,26,False
004950:supplement:2009092121744,138,False,138,False,138,False
004950:supplement:2010072122284,69,False,69,False,69,False
004950:supplement:2012010623488,77,False,77,False,77,False
004950:supplement:2013032324415,116,False,116,False,116,False
004950:supplement:2013123025035,468,False,468,False,468,False
004950:supplement:2016012226922,174,False,174,False,174,False
004950:supplement:2016033127078,240,False,240,False,240,False
004950:supplement:2016112927614,27,False,27,False,27,False
004950:supplement:2017052928053,26,False,26,False,26,False
004950:supplement:2018091829162,110,False,110,False,110,False
004950:supplement:2020092931080,159,False,159,False,159,False
004950:supplement:2020120831243,203,False,203,False,203,False
004950:supplement:2021040631614,156,False,156,False,156,False
004950:supplement:2021051131673,109,False,109,False,109,False
004950:supplement:2022122033105,309,False,309,False,309,False
004950:supplement:2023022133254,110,False,110,False,110,False
004950:supplement:2023092633771,136,False,136,False,136,False
004950:supplement:2024060434550,150,False,150,False,150,False
004950:supplement:2024122435089,154,False,154,False,154,False
004950:supplement:2024123135161,122,False,122,False,122,False
004950:supplement:2025123035947,172,False,172,False,172,False
004950:supplement:2026062336423,131,False,131,False,131,False
004950:annex:000100E,296,False,296,False,296,False
004950:annex:000200E,157,False,157,False,157,False
001706:article:0001001,37,False,37,False,37,False
001706:article:0002001,44,False,44,False,44,False
001706:article:0003001,29,False,29,False,29,False
001706:article:0004001,19,False,19,False,19,False
001706:article:0005001,64,False,64,False,64,False
001706:article:0006001,44,False,44,False,44,False
001706:article:0007001,44,False,44,False,44,False
001706:article:0008001,77,False,77,False,77,False
001706:article:0009001,151,False,151,False,151,False
001706:article:0010001,153,False,153,False,153,False
001706:article:0011001,81,False,81,False,81,False
001706:article:0012001,146,False,146,False,146,False
001706:article:0013001,261,False,261,False,261,False
001706:article:0014001,81,False,81,False,81,False
001706:article:0014021,147,False,147,False,147,False
001706:article:0014031,112,False,112,False,112,False
001706:article:0015001,189,False,189,False,189,False
001706:article:0016001,116,False,116,False,116,False
001706:article:0017001,77,False,77,False,77,False
001706:article:0018001,30,False,30,False,30,False
001706:article:0019001,23,False,23,False,23,False
001706:article:0020001,28,False,28,False,28,False
001706:article:0021001,32,False,32,False,32,False
001706:article:0022001,120,False,120,False,120,False
001706:article:0023001,60,False,60,False,60,False
001706:article:0024001,125,False,125,False,125,False
001706:article:0025001,69,False,69,False,69,False
001706:article:0026001,105,False,105,False,105,False
001706:article:0027001,132,False,132,False,132,False
001706:article:0028001,39,False,39,False,39,False
001706:article:0029001,166,False,166,False,166,False
001706:article:0030001,32,False,32,False,32,False
001706:article:0031001,28,False,28,False,28,False
001706:article:0032001,60,False,60,False,60,False
001706:article:0033001,34,False,34,False,34,False
001706:article:0034001,41,False,41,False,41,False
001706:article:0035001,113,False,113,False,113,False
001706:article:0036001,27,False,27,False,27,False
001706:article:0037001,30,False,30,False,30,False
001706:article:0038001,57,False,57,False,57,False
001706:article:0039001,57,False,57,False,57,False
001706:article:0040001,97,False,97,False,97,False
001706:article:0041001,37,False,37,False,37,False
001706:article:0042001,90,False,90,False,90,False
001706:article:0043001,53,False,53,False,53,False
001706:article:0044001,62,False,62,False,62,False
001706:article:0045001,97,False,97,False,97,False
001706:article:0046001,60,False,60,False,60,False
001706:article:0047001,64,False,64,False,64,False
001706:article:0048001,82,False,82,False,82,False
001706:article:0049001,124,False,124,False,124,False
001706:article:0050001,63,False,63,False,63,False
001706:article:0051001,90,False,90,False,90,False
001706:article:0052001,36,False,36,False,36,False
